time;Va;Vb;Vc;ia;ib;ic;id;iq;Te;theta_r;omega_r;iq_ref;duty_a;duty_b;duty_c
0.000620;0.001354;15.122997;-15.124352;0.000071;2.198306;-2.198376;-0.000068;2.514544;0.380764;-0.000007;-0.011948;5.384496;0.500017;0.626031;0.373969
0.000630;0.001369;15.009510;-15.010887;0.000074;2.218669;-2.218742;-0.000069;2.538425;0.384291;-0.000007;-0.011737;5.386065;0.500017;0.625085;0.374915
0.000640;0.001392;14.897831;-14.899212;0.000076;2.238719;-2.238794;-0.000070;2.561940;0.387764;-0.000007;-0.011518;5.387616;0.500017;0.624154;0.375846
0.000650;0.001400;14.787903;-14.789307;0.000079;2.258460;-2.258538;-0.000071;2.585093;0.391183;-0.000007;-0.011290;5.389149;0.500018;0.623238;0.376762
0.000660;0.001419;14.679722;-14.681152;0.000081;2.277898;-2.277978;-0.000073;2.607890;0.394550;-0.000007;-0.011053;5.390665;0.500018;0.622337;0.377663
0.000670;0.001434;14.573273;-14.574703;0.000084;2.297037;-2.297120;-0.000074;2.630336;0.397866;-0.000007;-0.010809;5.392164;0.500018;0.621450;0.378550
0.000680;0.001453;14.468494;-14.469936;0.000086;2.315882;-2.315968;-0.000075;2.652438;0.401130;-0.000008;-0.010556;5.393646;0.500018;0.620577;0.379423
0.000690;0.001457;14.365379;-14.366844;0.000089;2.334437;-2.334526;-0.000076;2.674199;0.404344;-0.000008;-0.010295;5.395112;0.500018;0.619718;0.380282
0.000700;0.001472;14.263912;-14.265381;0.000091;2.352708;-2.352799;-0.000077;2.695627;0.407509;-0.000008;-0.010026;5.396561;0.500018;0.618872;0.381128
0.000710;0.001488;14.164036;-14.165524;0.000094;2.370698;-2.370791;-0.000078;2.716725;0.410625;-0.000008;-0.009750;5.397995;0.500019;0.618040;0.381960
0.000720;0.001495;14.065754;-14.067257;0.000096;2.388412;-2.388508;-0.000079;2.737500;0.413693;-0.000008;-0.009465;5.399412;0.500019;0.617221;0.382779
0.000730;0.001507;13.969036;-13.970539;0.000099;2.405854;-2.405953;-0.000079;2.757956;0.416715;-0.000008;-0.009174;5.400814;0.500019;0.616415;0.383585
